x0,x1,func_val
9.582217931747436523e-01,1.002691507339477539e+00,1.971959834918379784e-03
9.315436482429504395e-01,9.950199723243713379e-01,2.597016748040914536e-03
9.582733511924743652e-01,1.008732438087463379e+00,3.123226109892129898e-03
9.314784407615661621e-01,9.831595420837402344e-01,6.539705209434032440e-03
9.583224654197692871e-01,1.027100801467895508e+00,1.462994329631328583e-02
9.314163327217102051e-01,9.409880042076110840e-01,4.888509586453437805e-02
9.583691954612731934e-01,1.067667126655578613e+00,9.154155850410461426e-02
9.313572049140930176e-01,8.111391067504882812e-01,3.238725662231445312e-01
9.584136009216308594e-01,1.024209499359130859e+00,1.199623849242925644e-02
9.313008785247802734e-01,9.482603073120117188e-01,3.893110528588294983e-02
9.584559202194213867e-01,1.063180565834045410e+00,7.904279977083206177e-02
9.312472343444824219e-01,8.282356858253479004e-01,2.826029062271118164e-01
9.584960937500000000e-01,1.039998888969421387e+00,3.078947588801383972e-02
9.311962723731994629e-01,9.054915904998779297e-01,1.097258925437927246e-01
9.585342407226562500e-01,1.076790452003479004e+00,1.205545216798782349e-01
9.311478734016418457e-01,7.740887403488159180e-01,4.131361544132232666e-01
9.585703611373901367e-01,9.833864569664001465e-01,6.163508631289005280e-03
9.311019778251647949e-01,1.026780486106872559e+00,1.477497629821300507e-02
9.586046934127807617e-01,9.418057799339294434e-01,4.744195565581321716e-02
9.310583472251892090e-01,1.067210435867309570e+00,9.067182987928390503e-02
9.586372375488281250e-01,8.129127025604248047e-01,3.192987143993377686e-01
9.310169816017150879e-01,1.025947213172912598e+00,1.401095837354660034e-02
9.586680531501770020e-01,9.439188838005065918e-01,4.449059441685676575e-02
9.309777617454528809e-01,1.065974831581115723e+00,8.716870099306106567e-02
9.586971998214721680e-01,8.176732063293457031e-01,3.077979981899261475e-01
9.309406876564025879e-01,1.030500769615173340e+00,1.869995519518852234e-02
9.587247967720031738e-01,9.321209788322448730e-01,6.208511814475059509e-02
9.309055209159851074e-01,1.071865200996398926e+00,1.047782152891159058e-01
9.587509632110595703e-01,7.944766283035278320e-01,3.639360070228576660e-01
9.308722019195556641e-01,1.006860017776489258e+00,3.183128312230110168e-03
9.587756991386413574e-01,9.869381189346313477e-01,4.651782102882862091e-03
9.308406710624694824e-01,1.021610975265502930e+00,1.039664167910814285e-02
9.587990641593933105e-01,9.545891880989074707e-01,3.081238456070423126e-02
9.308108687400817871e-01,1.058474063873291016e+00,6.757280230522155762e-02
9.588211774826049805e-01,8.453987240791320801e-01,2.413633465766906738e-01
9.307826161384582520e-01,1.053487539291381836e+00,5.614455789327621460e-02
9.588420987129211426e-01,8.627420663833618164e-01,2.009480446577072144e-01
9.307559728622436523e-01,1.064361691474914551e+00,8.275852352380752563e-02
9.588618278503417969e-01,8.238052129745483398e-01,2.930362820625305176e-01
9.307307600975036621e-01,1.036119461059570312e+00,2.571452036499977112e-02
9.588804841041564941e-01,9.167041778564453125e-01,8.838923275470733643e-02
9.307069778442382812e-01,1.076049089431762695e+00,1.185367926955223083e-01
9.588980674743652344e-01,7.772163152694702148e-01,4.054246842861175537e-01
9.306844472885131836e-01,9.871315956115722656e-01,5.023499019443988800e-03
9.589147567749023438e-01,1.021320939064025879e+00,9.824227541685104370e-03
9.306631684303283691e-01,9.552835226058959961e-01,3.044450096786022186e-02
9.589304924011230469e-01,1.057910919189453125e+00,6.585986912250518799e-02
9.306430816650390625e-01,8.474003076553344727e-01,2.370832711458206177e-01
9.589453339576721191e-01,1.054890871047973633e+00,5.887387692928314209e-02
9.306241273880004883e-01,8.579474687576293945e-01,2.124367058277130127e-01
9.589592814445495605e-01,1.061654210090637207e+00,7.518899440765380859e-02
9.306062459945678711e-01,8.338874578475952148e-01,2.692334949970245361e-01
9.589725136756896973e-01,1.044718265533447266e+00,3.866004198789596558e-02
9.305893182754516602e-01,8.912094831466674805e-01,1.387841701507568359e-01
9.589849710464477539e-01,1.075170874595642090e+00,1.152041107416152954e-01
9.305734038352966309e-01,7.808941602706909180e-01,3.970815837383270264e-01
9.589967131614685059e-01,9.914716482162475586e-01,3.232087008655071259e-03
9.305583834648132324e-01,1.014580488204956055e+00,6.068341434001922607e-03
9.590077400207519531e-01,9.707525968551635742e-01,1.463559828698635101e-02
9.305442571640014648e-01,1.042854666709899902e+00,3.591930493712425232e-02
9.590181708335876465e-01,8.969343900680541992e-01,1.265681535005569458e-01
9.305309653282165527e-01,1.076149940490722656e+00,1.189362704753875732e-01
9.590279459953308105e-01,7.767921090126037598e-01,4.064782261848449707e-01
9.305183887481689453e-01,9.866265058517456055e-01,5.276896059513092041e-03
9.590372443199157715e-01,1.022076368331909180e+00,1.044164970517158508e-02
9.305065274238586426e-01,9.534699320793151855e-01,3.264384716749191284e-02
9.590459465980529785e-01,1.059362053871154785e+00,6.942311674356460571e-02
9.304953813552856445e-01,8.422201275825500488e-01,2.493896037340164185e-01
9.590541720390319824e-01,1.051183342933654785e+00,5.095515772700309753e-02
